config,alpha,top_k,mrr,context_recall,context_precision,retrieval_time,ragas_time,latency_total
alpha=0.0_topk=5,0.0,5,0.3605555555555556,0.45,0.5473611110857929,3.804109000018798,430.89948000002187,434.7042963000131
alpha=0.0_topk=10,0.0,10,0.37361111111111106,0.7,0.47106854159668593,3.2212100999895483,700.619523899979,703.8415224999771
alpha=0.0_topk=15,0.0,15,0.3766414141414141,0.7333333333333333,0.4568491652692129,3.8502887999638915,1063.1834259000025,1067.0347809999948
alpha=0.3_topk=5,0.3,5,0.40555555555555556,0.5444444444444444,0.5292592592337931,3.6800366999814287,402.88058759999694,406.56143439997686
alpha=0.3_topk=10,0.3,10,0.41059523809523807,0.6095238095238095,0.5077737360205921,5.085632200003602,734.3981107000145,739.4846383000258
alpha=0.3_topk=15,0.3,15,0.4189529914529915,0.7333333333333333,0.47330992697717833,3.7957391999661922,957.1270619000425,960.9239460999961
alpha=0.5_topk=5,0.5,5,0.39722222222222225,0.6,0.5929629629272485,3.9200844999868423,480.3142170999781,484.2350142999785
alpha=0.5_topk=10,0.5,10,0.40785714285714286,0.6976190476190477,0.5280149281745579,3.395479400001932,772.1061970000155,775.5024339000229
alpha=0.5_topk=15,0.5,15,0.41948412698412696,0.7666666666666667,0.49614161306274496,3.568775799998548,1043.5949091999792,1047.1646399999736
alpha=0.7_topk=5,0.7,5,0.4038888888888889,0.6880952380952381,0.5656944444115243,3.62069159996463,371.81044869998004,375.4318085999694
alpha=0.7_topk=10,0.7,10,0.3917989417989418,0.7357142857142857,0.5346192470577715,4.1917041999986395,697.1523699000245,701.3448264999897
alpha=0.7_topk=15,0.7,15,0.40904761904761905,0.7333333333333333,0.5425019690648268,4.091992000001483,958.3076579000335,962.4007258000202
alpha=1.0_topk=5,1.0,5,0.3327777777777778,0.5,0.5882870370005954,3.490764499991201,385.2320736999973,388.7235315000289
alpha=1.0_topk=10,1.0,10,0.3462037037037037,0.7166666666666667,0.5480794070435168,3.3453241999959573,649.449169999978,652.7953096000128
alpha=1.0_topk=15,1.0,15,0.3489814814814815,0.7333333333333333,0.499199877262884,3.7576492999796756,947.9496065999847,951.7085091999616
